,ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
25,ALEXACO02,Courtney,Alexander,G,2000,2002,6.0,5.0,205.0,Fresno State,1977-04-27 00:00:00
26,ALEXAGA01,Gary,Alexander,F,1993,1993,6.0,7.0,240.0,South Florida,1969-11-01 00:00:00
27,ALEXAVI01,Victor,Alexander,C,1991,2001,6.0,9.0,265.0,Iowa State,1969-08-31 00:00:00
28,ALFORST01,Steve,Alford,G,1987,1990,6.0,2.0,183.0,Indiana,1964-11-23 00:00:00
29,ALLENBI01,Bill,Allen,C,1967,1967,6.0,8.0,205.0,New Mexico State,1945-01-01 00:00:00
30,ALLENBO01,Bob,Allen,F,1968,1968,6.0,9.0,205.0,Marshall,1946-07-17 00:00:00
31,ALLENJE01,Jerome,Allen,G,1995,1995,6.0,4.0,184.0,Pennsylvania,1973-01-28 00:00:00
32,ALLENLU01,Lucius,Allen,G,1969,1978,6.0,2.0,175.0,UCLA,1947-09-26 00:00:00
33,ALLENMA01,Malik,Allen,F,2001,2004,6.0,10.0,225.0,Villanova,1978-06-27 00:00:00
34,ALLENRA01,Randy,Allen,F,1988,1989,6.0,8.0,220.0,Florida State,1965-01-26 00:00:00
35,ALLENRA02,Ray,Allen,G,1996,2004,6.0,5.0,205.0,Connecticut,1975-07-20 00:00:00
36,ALLENWI01,Willie,Allen,F,1971,1971,6.0,6.0,230.0,Miami (FL),1949-02-08 00:00:00
37,ALLENTO01,Tony,Allen,G,2004,2004,6.0,4.0,214.0,Oklahoma St.,1982-01-11 00:00:00
38,ALLISOD01,Odis,Allison,F,1971,1971,6.0,6.0,195.0,UNLV,1949-10-02 00:00:00
39,ALLUMDA01,Darrell,Allums,F,1980,1980,6.0,8.5,220.0,UCLA,1958-09-12 00:00:00
40,ALSTODE01,Derrick,Alston,C,1994,1996,6.0,11.0,225.0,Duquesne,1972-08-20 00:00:00
41,ALSTORA01,Rafer,Alston,G,1999,2004,6.0,2.0,171.0,Fresno State,1976-07-24 00:00:00
42,ALUMAPE01,Peter,Aluma,C,1998,1998,6.0,10.0,260.0,Liberty,1973-04-23 00:00:00
43,AMAECJO01,John,Amaechi,C,1995,2002,6.0,10.0,270.0,Penn State,1970-11-26 00:00:00
44,AMAYAAS01,Ashraf,Amaya,F,1995,1996,6.0,8.0,230.0,Southern Illinois,1971-11-23 00:00:00
45,ANDERBO01,Bob,Anderegg,F,1959,1959,6.0,3.0,200.0,Michigan State,1937-08-24 00:00:00
46,ANDERCH01,Chris,Andersen,F,2001,2004,6.0,10.0,230.0,Binn Coll TX JC,1978-07-07 00:00:00
47,ANDERAN01,Andy,Anderson,G,1967,1969,6.0,2.0,184.0,Canisius,1945-07-06 00:00:00
48,ANDERCA01,Cadillac,Anderson,F,1987,1997,6.0,10.0,230.0,Houston,1964-06-22 00:00:00
49,ANDERCL01,Cliff,Anderson,G,1967,1970,6.0,2.0,200.0,St. Joseph's (PA),1944-09-07 00:00:00
50,ANDERDA01,Danw,Anderson,C,1967,1968,6.0,10.0,230.0,Augsburg (MN),1943-02-15 00:00:00
51,ANDERDA02,Daniel,Anderson,G,1974,1975,6.0,2.0,185.0,USC,1951-01-01 00:00:00
52,ANDERDE01,Derek,Anderson,G,1997,2004,6.0,5.0,194.0,Kentucky,1974-07-18 00:00:00
53,ANDERDW01,Dwight,Anderson,G,1982,1982,6.0,3.0,185.0,USC,1960-12-28 00:00:00
54,ANDERER01,Eric,Anderson,F,1992,1993,6.0,9.0,220.0,Indiana,1970-05-26 00:00:00
55,ANDERJE01,Jerome,Anderson,G,1975,1976,6.0,5.0,195.0,West Virginia,1953-10-09 00:00:00
56,ANDERKE01,Kim,Anderson,F,1978,1978,6.0,7.0,200.0,Missouri,1955-05-12 00:00:00
57,ANDERKE02,Kenny,Anderson,G,1991,2004,6.0,0.0,168.0,Georgia Tech,1970-10-09 00:00:00
58,ANDERMI01,Mitchell,Anderson,F,1982,1984,6.0,8.0,195.0,Bradley,1960-09-23 00:00:00
59,ANDERMI02,Michael,Anderson,G,1988,1988,5.0,11.0,184.0,Drexel,1966-03-23 00:00:00
60,ANDERNI01,Nick,Anderson,G,1989,2001,6.0,6.0,205.0,Illinois,1968-01-20 00:00:00
61,ANDERRI01,Richard,Anderson,F,1982,1989,6.0,10.0,240.0,Cal. State-Santa Barbara,1960-11-19 00:00:00
62,ANDERRO01,Ron,Anderson,F,1984,1993,6.0,7.0,215.0,Fresno State,1958-10-15 00:00:00
63,ANDERSH01,Shandon,Anderson,G,1996,2004,6.0,6.0,208.0,Georgia,1973-12-31 00:00:00
64,ANDERWI01,Willie,Anderson,G,1988,1996,6.0,7.0,190.0,Georgia,1967-01-08 00:00:00
65,ANDERWA01,Wally,Anderzunas,C,1969,1969,6.0,7.0,220.0,Creighton,1946-01-11 00:00:00
66,ANIELDO01,Don,Anielak,F,1954,1954,6.0,7.0,190.0,SW Missouri State,1930-11-01 00:00:00
67,ANSLEMI01,Michael,Ansley,F,1989,1991,6.0,7.0,225.0,Alabama,1967-02-08 00:00:00
68,ANSTECH01,Chris,Anstey,C,1997,1999,7.0,0.0,249.0,none,1975-01-01 00:00:00
69,ANTHOGR01,Greg,Anthony,G,1991,2001,6.0,0.0,176.0,UNLV,1967-11-15 00:00:00
70,ANTHOCA01,Carmelo,Anthony,F,2003,2004,6.0,8.0,220.0,Syracuse,1984-05-29 00:00:00
71,ARAUJRA01,Rafael,Araujo,C,2004,2004,6.0,11.0,280.0,BYU,1980-08-12 00:00:00
72,ARCENST01,Stacey,Arceneaux,F,1961,1961,6.0,4.0,210.0,Iowa State,1936-02-17 00:00:00
73,ARCHINA01,Nate,Archibald,G,1970,1983,6.0,1.0,150.0,UTEP,1948-09-02 00:00:00
74,ARCHIRO01,Robert,Archibald,F,2002,2003,6.0,11.0,250.0,Illinois,1980-03-29 00:00:00
75,ARDJI01,Jim,Ard,C,1970,1977,6.0,8.0,215.0,Cincinnati,1948-09-19 00:00:00
76,ARENAGI01,Gilbert,Arenas,G,2001,2004,6.0,3.0,191.0,Arizona,1982-01-06 00:00:00
77,ARIZATR01,Trevor,Ariza,F,2004,2004,6.0,8.0,200.0,UCLA,1985-06-30 00:00:00
78,ARIZIPA01,Paul,Arizin,F,1950,1961,6.0,4.0,190.0,Villanova,1928-04-09 00:00:00
79,ARLAUJO01,Joe,Arlauckas,F,1987,1987,6.0,9.0,230.0,Niagara,1965-07-20 00:00:00
80,ARMSTBJ01,B.j.,Armstrong,G,1989,1999,6.0,2.0,175.0,Iowa,1967-09-09 00:00:00
81,ARMSTBO01,Bob,Armstrong,C,1956,1956,6.0,8.0,220.0,Michigan State,1933-06-17 00:00:00
82,ARMSTBR01,Brandon,Armstrong,G,2001,2003,6.0,5.0,185.0,Pepperdine,1980-06-16 00:00:00
83,ARMSTDA01,Darrell,Armstrong,G,1994,2004,6.0,0.0,170.0,Fayetteville State,1968-06-22 00:00:00
84,ARMSTPA01,Paul,Armstrong,G,1948,1950,5.0,11.0,170.0,Indiana,1918-11-01 00:00:00
85,ARMSTTA01,Tate,Armstrong,G,1977,1978,6.0,3.0,175.0,Duke,1955-10-05 00:00:00
86,ARNELJE01,Jesse,Arnelle,F,1955,1955,6.0,5.0,220.0,Penn State,1933-12-30 00:00:00
87,ARNETJA01,Jay,Arnette,G,1963,1965,6.0,2.0,175.0,Texas,1938-12-19 00:00:00
88,ARNZEBO01,Bob,Arnzen,F,1969,1973,6.0,5.0,205.0,Notre Dame,1947-11-03 00:00:00
89,ARROYCA01,Carlos,Arroyo,G,2001,2004,6.0,2.0,220.0,Florida Int,1979-07-30 00:00:00
90,ARTESRO01,Ron,Artest,F,1999,2004,6.0,6.0,244.0,St. John's,1979-11-13 00:00:00
91,ARTHUJO01,John,Arthurs,G,1969,1969,6.0,4.0,185.0,Tulane,1947-08-15 00:00:00
92,ASKEWVI01,Vincent,Askew,G,1987,1997,6.0,6.0,210.0,Memphis State,1966-02-28 00:00:00
93,ASKINKE01,Keith,Askins,F,1990,1998,6.0,7.0,197.0,Alabama,1967-12-15 00:00:00
94,ASMONDO01,Don,Asmonga,G,1953,1953,6.0,2.0,185.0,California (PA),1928-02-15 00:00:00
95,ATHARI01,Richard,Atha,G,1955,1957,6.0,2.0,190.0,Indiana State,1931-09-21 00:00:00
96,ATKINCH01,Chucky,Atkins,G,1999,2004,5.0,11.0,160.0,South Florida,1974-08-14 00:00:00
97,ATTLEAL01,Alvin,Attles,G,1960,1970,6.0,0.0,175.0,North Carolina A&T,1936-11-07 00:00:00
98,AUBUCCH01,Chet,Aubuchon,G,1946,1946,5.0,10.0,137.0,Michigan State,1916-05-08 00:00:00
99,AUGMOST01,Stacey,Augmon,G,1991,2004,6.0,6.0,205.0,UNLV,1968-08-01 00:00:00
100,AUSTIIS01,Isaac,Austin,C,1991,2001,6.0,10.0,255.0,Arizona State,1969-08-18 00:00:00
101,AUSTIJO01,John,Austin,G,1966,1967,6.0,0.0,170.0,Boston College,1944-08-31 00:00:00
102,AUSTIKE01,Ken,Austin,F,1983,1983,6.0,9.0,205.0,Rice,1961-07-15 00:00:00
103,AVENTAN01,Anthony,Avent,F,1992,1999,6.0,9.0,235.0,Seton Hall,1969-10-18 00:00:00
104,AVERIWI01,William,Averitt,G,1976,1977,6.0,1.0,170.0,Pepperdine,1952-07-22 00:00:00
105,AVERYWI01,William,Avery,G,1999,2001,6.0,2.0,197.0,Duke,1979-08-08 00:00:00
106,AWTREDE01,Dennis,Awtrey,C,1970,1981,6.0,10.0,235.0,Santa Clara,1948-02-22 00:00:00
107,BABICMI01,Milos,Babic,C,1990,1991,7.0,0.0,240.0,Tennessee Tech,1968-11-23 00:00:00
108,BACHJO01,Johnny,Bach,F,1948,1948,6.0,2.0,180.0,Fordham,1924-07-10 00:00:00
109,BACONHE01,Henry,Bacon,G,1972,1972,6.0,3.0,205.0,Louisville,1948-07-05 00:00:00
110,BAECHJI01,Jim,Baechtold,F,1952,1956,6.0,4.0,205.0,Eastern Kentucky,1927-12-09 00:00:00
111,BAGARDA01,Dalibor,Bagaric,C,2000,2002,7.0,1.0,255.0,none,1980-02-07 00:00:00
112,BAGLEJO01,John,Bagley,G,1982,1993,6.0,0.0,185.0,Boston College,1960-04-23 00:00:00
113,BAILECA01,Carl,Bailey,C,1981,1981,7.0,0.0,210.0,Tuskegee,1958-04-23 00:00:00
114,BAILEGU01,Gus,Bailey,G,1974,1979,6.0,5.0,185.0,UTEP,1951-02-18 00:00:00
115,BAILEJA01,James,Bailey,F,1979,1987,6.0,9.0,220.0,Rutgers,1957-05-21 00:00:00
116,BAILETH01,Thurl,Bailey,F,1983,1998,6.0,11.0,215.0,North Carolina State,1961-04-07 00:00:00
117,BAILETO01,Toby,Bailey,G,1998,1999,6.0,6.0,213.0,UCLA,1975-11-19 00:00:00
118,BAKERJI01,Jimmie,Baker,F,1975,1975,6.0,9.0,220.0,Hawaii,1953-12-25 00:00:00
119,BAKERMA01,Mark,Baker,G,1998,1998,6.0,1.0,175.0,Ohio State,1969-11-11 00:00:00
120,BAKERNO01,Norm,Baker,G,1946,1946,6.0,0.0,180.0,none,1923-02-17 00:00:00
121,BAKERVI01,Vin,Baker,F,1993,2004,6.0,10.5,232.0,Hartford,1971-11-23 00:00:00
122,BAKERMA02,Maurice,Baker,G,2004,2004,6.0,1.0,175.0,Oklahoma St.,1979-07-28 00:00:00
123,BALLCE01,Cedric,Ball,F,1990,1990,6.0,8.0,210.0,UNC-Charlotte,1968-04-16 00:00:00
124,BALLAGR01,Greg,Ballard,F,1977,1988,6.0,7.0,215.0,Oregon,1955-01-29 00:00:00
125,BALTIHE01,Herschel,Baltimore,F,1946,1946,6.0,4.0,195.0,Penn State,1921-06-21 00:00:00
126,BANKSGE01,Gene,Banks,F,1981,1986,6.0,7.0,215.0,Duke,1959-05-15 00:00:00
127,BANKSWA01,Walker,Banks,C,1970,1970,6.0,10.0,205.0,Western Kentucky,1947-08-26 00:00:00
128,BANKSMA01,Marcus,Banks,G,2003,2004,6.0,2.0,220.0,UNLV,1981-11-19 00:00:00
129,BANNIKE01,Ken,Bannister,F,1984,1990,6.0,9.0,235.0,St. Augustine,1960-04-01 00:00:00
130,BANTOMI01,Mike,Bantom,F,1973,1981,6.0,9.0,200.0,St. Joseph's (PA),1951-12-03 00:00:00
131,BARBEJO01,John,Barber,F,1956,1956,6.0,6.0,210.0,Los Angeles State,1927-06-27 00:00:00
132,BARBOLE01,Leandrinho,Barbosa,G,2003,2004,6.0,3.0,176.0,UCLA,1982-11-28 00:00:00
133,BARDOST01,Stephen,Bardo,G,1991,1995,6.0,5.0,190.0,Illinois,1968-04-05 00:00:00
134,BARKECL01,Cliff,Barker,G,1949,1951,6.0,2.0,185.0,Kentucky,1921-01-15 00:00:00
135,BARKETO01,Tom,Barker,C,1976,1978,6.0,11.0,225.0,Hawaii,1955-03-11 00:00:00
136,BARKLCH01,Charles,Barkley,F,1984,1999,6.0,5.0,250.0,Auburn,1963-02-20 00:00:00
137,BARKLER01,Erick,Barkley,G,2000,2001,6.0,1.0,177.0,St. John's,1978-02-21 00:00:00
138,BARKSDO01,Don,Barksdale,F,1951,1954,6.0,6.0,200.0,UCLA,1923-03-31 00:00:00
139,BARNEHA01,Harry,Barnes,F,1968,1968,6.0,3.0,205.0,Northeastern,1945-07-25 00:00:00
140,BARNEJI01,Jim,Barnes,C,1964,1970,6.0,8.0,210.0,Texas Western,1941-04-13 00:00:00
141,BARNEMA01,Marvin,Barnes,F,1974,1979,6.0,8.0,210.0,Providence,1952-07-27 00:00:00
142,BARNEMA02,Matt,Barnes,F,2003,2004,6.0,7.0,235.0,UCLA,1980-03-09 00:00:00
143,BARNEDI01,Dick,Barnett,G,1959,1973,6.0,4.0,190.0,Tennessee State,1936-10-02 00:00:00
144,BARNEJI02,Jim,Barnett,G,1966,1976,6.0,4.0,170.0,Oregon,1944-07-07 00:00:00
145,BARNENA01,Nate,Barnett,G,1975,1975,6.0,3.0,175.0,Akron,1953-01-29 00:00:00
146,BARNHJO01,John,Barnhill,G,1962,1971,6.0,1.0,180.0,Tennessee State,1938-03-20 00:00:00
147,BARNHNO01,Norton,Barnhill,G,1976,1976,6.0,4.0,205.0,Washington State,1953-07-15 00:00:00
148,BARNHLE01,Leo,Barnhorst,F,1949,1953,6.0,4.0,190.0,Notre Dame,1924-05-11 00:00:00
149,BARRJO01,John,Barr,F,1946,1946,6.0,3.0,205.0,Penn State,1918-08-18 00:00:00
150,BARRMI01,Mike,Barr,G,1972,1976,6.0,3.0,180.0,Duquesne,1950-10-19 00:00:00
151,BARRTH01,Thomas,Barr,G,1970,1970,6.0,4.0,195.0,Duquesne,1944-06-19 00:00:00
152,BARREER01,Ernie,Barrett,G,1953,1955,6.0,3.0,180.0,Kansas State,1929-08-27 00:00:00
153,BARREMI01,Mike,Barrett,G,1969,1972,6.0,2.0,155.0,West Virginia Tech,1943-09-05 00:00:00
154,BARREAN01,Andre,Barrett,G,2004,2004,5.0,9.0,171.0,Seton Hall,1982-02-21 00:00:00
155,BARRODA01,Dana,Barros,G,1989,2003,5.0,11.0,163.0,Boston College,1967-04-13 00:00:00
156,BARRYBR01,Brent,Barry,G,1995,2004,6.0,6.0,185.0,Oregon State,1971-12-31 00:00:00
157,BARRYDR01,Drew,Barry,G,1997,1999,6.0,5.0,191.0,Georgia Tech,1973-02-17 00:00:00
158,BARRYJO01,Jon,Barry,G,1992,2004,6.0,4.0,195.0,Georgia Tech,1969-07-25 00:00:00
159,BARRYRI01,Rick,Barry,F,1965,1979,6.0,7.0,205.0,Miami (FL),1944-03-28 00:00:00
160,BARTEED01,Ed,Bartels,F,1949,1950,6.0,6.0,195.0,North Carolina State,1925-10-08 00:00:00
161,BARTOVI01,Vic,Bartolome,C,1971,1971,7.0,0.0,230.0,Oregon State,1948-09-29 00:00:00
162,BASKEJE01,Jerry,Baskerville,F,1975,1975,6.0,7.0,190.0,Temple,1951-11-10 00:00:00
163,BASSETI01,Tim,Bassett,F,1973,1979,6.0,8.0,225.0,Georgia,1951-04-01 00:00:00
164,BASTOMA01,Maceo,Baston,F,2002,2002,6.0,9.0,215.0,Michigan,1975-05-29 00:00:00
165,BATEEME01,Mengke,Bateer,C,2001,2003,6.0,11.0,290.0,None,1975-11-20 00:00:00
166,BATESBI01,Billyray,Bates,G,1979,1982,6.0,4.0,210.0,Kentucky State,1956-05-31 00:00:00
167,BATISMI01,Mike,Batiste,F,2002,2002,6.0,8.0,225.0,Arizona State,1977-11-21 00:00:00
168,BATTITO01,Tony,Battie,C,1997,2004,6.0,11.0,230.0,Texas Tech,1976-02-11 00:00:00
169,BATTISH01,Shane,Battier,F,2001,2004,6.0,8.0,220.0,Duke,1978-09-09 00:00:00
170,BATTLJO01,John,Battle,G,1985,1994,6.0,2.0,175.0,Rutgers,1962-11-09 00:00:00
171,BATTLKE01,Kenny,Battle,G,1989,1992,6.0,6.0,210.0,Illinois,1964-10-10 00:00:00
172,BATTODA01,Dave,Batton,C,1982,1983,6.0,10.0,240.0,Notre Dame,1956-03-26 00:00:00
173,BATTSLL01,Lloyd,Batts,G,1974,1974,6.0,4.0,185.0,Cincinnati,1951-05-09 00:00:00
174,BAUMJO01,Johnny,Baum,F,1969,1973,6.0,5.0,200.0,Temple,1946-06-17 00:00:00
175,BAUMHFR01,Frankie,Baumholtz,G,1946,1946,5.0,10.0,170.0,Ohio University,1918-10-07 00:00:00
176,BAXTELO01,Lonny,Baxter,F,2002,2004,6.0,8.0,260.0,Maryland,1979-07-27 00:00:00
177,BAYLOEL01,Elgin,Baylor,F,1958,1971,6.0,5.0,225.0,Seattle,1934-09-16 00:00:00
178,BAYNEHO01,Howard,Bayne,F,1967,1967,6.0,6.0,235.0,Tennessee,1942-07-28 00:00:00
179,BAZARSE01,Sergei,Bazarevich,G,1994,1994,6.0,2.0,168.0,none,1965-03-16 00:00:00
180,BEACHED01,Ed,Beach,F,1950,1950,6.0,3.0,200.0,West Virginia  ,1929-01-25 00:00:00
181,BEARDAL01,Al,Beard,C,1967,1967,6.0,9.0,200.0,Norfolk State,1942-04-27 00:00:00
182,BEARDBU01,Butch,Beard,G,1969,1978,6.0,3.0,185.0,Louisville,1947-05-04 00:00:00
183,BEARDRA01,Ralph,Beard,G,1949,1950,5.0,10.0,175.0,Kentucky,1927-12-02 00:00:00
184,BEASLCH01,Charlie,Beasley,G,1967,1970,6.0,5.0,190.0,SMU,1945-09-23 00:00:00
185,BEASLJO01,John,Beasley,F,1967,1973,6.0,9.0,225.0,Texas A&M,1944-02-05 00:00:00
186,BEASLJE01,Jerome,Beasley,F,2003,2003,6.0,10.0,241.0,North Dakota,1980-05-17 00:00:00
187,BEATYZE01,Zelmo,Beaty,C,1962,1974,6.0,9.0,225.0,Prairie View A&M,1939-10-25 00:00:00
188,BECKBY01,Byron,Beck,C,1967,1976,6.0,9.0,225.0,Denver,1945-01-25 00:00:00
189,BECKCO01,Corey,Beck,G,1995,1998,6.0,1.0,190.0,Arkansas,1971-05-27 00:00:00
190,BECKER01,Ernie,Beck,G,1953,1960,6.0,4.0,190.0,Pennsylvania,1931-12-11 00:00:00
191,BECKEAR01,Art,Becker,F,1967,1972,6.0,6.5,205.0,Arizona State,1942-01-12 00:00:00
192,BECKEMO01,Moe,Becker,G,1946,1946,6.0,1.0,185.0,Duquesne,1917-02-24 00:00:00
193,BEDELBO01,Bob,Bedell,F,1967,1970,6.0,7.0,205.0,Stanford,1944-06-26 00:00:00
194,BEDFOWI01,William,Bedford,C,1986,1992,7.0,0.0,225.0,Memphis State,1963-12-14 00:00:00
195,BEENDHA01,Hank,Beenders,C,1946,1948,6.0,5.5,185.0,LIU,1916-06-02 00:00:00
196,BEHAGRO01,Ron,Behagen,F,1973,1979,6.0,9.0,185.0,Minnesota,1951-01-14 00:00:00
197,BEHNKEL01,Elmer,Behnke,C,1951,1951,6.0,7.0,210.0,Bradley,1929-02-03 00:00:00
198,BELLCH01,Charlie,Bell,G,2001,2001,6.0,3.0,200.0,Michigan State,1979-03-12 00:00:00
199,BELLDE01,Dennis,Bell,F,1973,1975,6.0,5.0,185.0,Drake,1951-06-02 00:00:00
200,BELLRA01,Raja,Bell,G,2000,2004,6.0,5.0,215.0,Florida International,1976-09-19 00:00:00
201,BELLWI01,William,Bell,G,1959,1960,6.0,0.0,180.0,North Carolina State,1932-09-13 00:00:00
202,BELLTR01,Troy,Bell,G,2003,2003,6.0,1.0,180.0,Boston College,1980-11-10 00:00:00
203,BELLAWA01,Walt,Bellamy,C,1961,1974,6.0,10.5,225.0,Indiana,1939-07-24 00:00:00
204,BEMORIR01,Irv,Bemoras,F,1953,1956,6.0,3.0,185.0,Illinois,1930-11-18 00:00:00
205,BENBOLE01,Leon,Benbow,G,1974,1975,6.0,4.0,185.0,Jacksonville,1950-07-23 00:00:00
206,BENDEJO01,Jonathan,Bender,F,1999,2004,6.0,11.0,202.0,none,1981-01-30 00:00:00
207,BENJABE01,Benoit,Benjamin,C,1985,1999,7.0,0.0,250.0,Creighton,1964-11-22 00:00:00
208,BENJACO01,Corey,Benjamin,G,1998,2002,6.0,6.0,200.0,Oregon State,1978-02-24 00:00:00
209,BENNEEL01,Elmer,Bennett,G,1994,1996,6.0,0.0,170.0,Notre Dame,1970-02-13 00:00:00
210,BENNEMA01,Mario,Bennett,F,1995,1999,6.0,6.0,235.0,Arizona State,1973-08-01 00:00:00
211,BENNEME01,Mel,Bennett,F,1975,1981,6.0,7.0,200.0,Pittsburgh,1955-01-04 00:00:00
212,BENNETO01,Tony,Bennett,G,1992,1994,6.0,0.0,175.0,Wisconsin-Green Bay,1969-06-01 00:00:00
213,BENNEWI01,Winston,Bennett,G,1989,1991,6.0,7.0,210.0,Kentucky,1965-02-09 00:00:00
214,BENNEWI02,Willis,Bennett,G,1968,1968,6.0,3.0,190.0,Winston-Salem,1943-08-04 00:00:00
215,BENOIDA01,David,Benoit,F,1991,2000,6.0,8.0,220.0,Alabama,1968-05-09 00:00:00
216,BENSOKE01,Kent,Benson,C,1977,1987,6.0,10.0,235.0,Indiana,1954-12-27 00:00:00
217,BERCEGE01,Gene,Berce,G,1949,1949,5.0,11.0,175.0,Marquette,1926-11-22 00:00:00
218,BERGEGA01,Gary,Bergen,C,1956,1956,6.0,8.0,210.0,Utah,1932-07-16 00:00:00
219,BERGHLA01,Larry,Bergh,F,1969,1969,6.0,7.5,210.0,Tuskegee,1945-04-02 00:00:00
220,BERRYRI01,Ricky,Berry,F,1988,1988,6.0,8.0,205.0,San Jose State,1964-10-06 00:00:00
221,BERRYWA01,Walter,Berry,F,1986,1988,6.0,8.0,215.0,St. John's,1964-05-14 00:00:00
222,BESHODE01,Del,Beshore,G,1978,1979,5.0,11.0,165.0,California (PA),1956-11-29 00:00:00
223,BESTTR01,Travis,Best,G,1995,2004,5.0,11.0,182.0,Georgia Tech,1972-07-12 00:00:00
224,BIALOWE01,Wes,Bialosuknia,G,1967,1967,6.0,2.0,185.0,Connecticut,1945-06-08 00:00:00
225,BIANCAL01,Al,Bianchi,G,1956,1965,6.0,3.0,185.0,Bowling Green,1932-03-26 00:00:00
226,BIASAHA01,Hank,Biasatti,G,1946,1946,5.0,11.0,175.0,Assumption,1922-01-14 00:00:00
227,BIBBYHE01,Henry,Bibby,G,1972,1980,6.0,1.0,185.0,UCLA,1949-11-24 00:00:00
228,BIBBYMI01,Mike,Bibby,G,1998,2004,6.0,1.0,190.0,Arizona,1978-05-13 00:00:00
229,BIEDEED01,Ed,Biedenbach,G,1968,1968,6.0,1.0,175.0,North Carolina State,1945-08-12 00:00:00
230,BIEDRAN01,Andris,Biedrins,F,2004,2004,7.0,0.0,240.0,UCLA,1986-04-02 00:00:00
231,BIELKDO01,Don,Bielke,C,1955,1955,6.0,7.0,240.0,Valparaiso,1945-01-01 00:00:00
232,BIGELBO01,Bob,Bigelow,F,1975,1978,6.0,7.0,215.0,Pennsylvania,1953-12-26 00:00:00
233,BILLILI01,Lionel,Billingy,F,1974,1974,6.0,9.0,215.0,Duquesne,1952-01-01 00:00:00
234,BILLUCH01,Chauncey,Billups,G,1997,2004,6.0,3.0,202.0,Colorado,1976-09-25 00:00:00
235,BINGDA01,Dave,Bing,G,1966,1977,6.0,3.0,180.0,Syracuse,1943-11-24 00:00:00
236,BINIOJO01,Joe,Binion,F,1986,1986,6.0,8.0,235.0,North Carolina A&T,1961-03-26 00:00:00
237,BIRDJE01,Jerry,Bird,F,1958,1958,6.0,6.0,210.0,Kentucky,1935-02-02 00:00:00
238,BIRDLA01,Larry,Bird,F,1979,1991,6.0,9.0,220.0,Indiana State,1956-12-07 00:00:00
